Place ID,Name,Latitude,Longitude,Address,County,Tags,Rating
30,Achill Experience Aquarium & Visitor Centre,53.98398299999999,-10.080603,"Crumpaun, Keel East, Achill, , F28 TX49",Mayo,"Activity,Experience,Attraction,Zoos and Aquarium,Museums and Attraction,Nature and Wildlife,Food Shops ,Shopping",4.6
31,Achill Golf Club,53.97578,-10.0676021,"The Sandy Banks Keel Achill Island, Keel East, Westport, F28 CX62",Mayo,"Golf Course,Activity,Experience,Golf,Activity Operator",4.3
32,Achill Heritage Centre,53.97036749999999,-9.979417299999998,"Bunacurry, , F28 V4K7",Mayo,"Activity,Experience,Learning,Tracing Your Ancestors,Attraction,Museums and Attraction",4.2
33,Achill Island (Acaill),53.9517526424668,-9.99389294297557,"Achill Tourism, Davitt Quater, Achill Sound, , ",Mayo,"Activity,Experience,Craft,Shopping,Bird Watching,Nature and Wildlife,Climbing,Activity Operator,Cycling,Fishing,Angling,Golf,Horse Riding,Equestrian,Kayaking,Kitesurfing,Windsurfing,Surfing,Swimming,Swimming Pools and Water Park,Venue,Walking ,Walking,Island,Attraction,Offshore Island",4.9
34,Achill Island Distillery,53.97062769999999,-9.9827429,"Unit 2 udaras na gaeltachta Bunnacurry Achill Island, Bunacurry, Westport, F28 AY75",Mayo,"Activity,Experience,Food and Drink,Restaurant,Learning,Attraction,Museums and Attraction,Tour",5.0
35,Achill Island Heritage Tours,53.97327317397073,-10.136807550076355,"Dooagh, Achill Island, , ",Mayo,"Activity,Experience,Activity Operator,Tour",5.0
36,Achill Island Sea Salt,53.9780747,-9.9825784,"Bunacurry, Achill, , F28 HT29",Mayo,"Activity,Experience,Craft,Shopping,Artisan,Food and Drink,Restaurant,Food Shops ,Tour",4.8
37,Achill Island Tours,53.2749746,-9.0456481,"Fairgreen Rd, , H91 CX90",Galway,"Activity,Experience,Activity Operator,Tour",5.0
38,Achill Isle Walks,53.97251999999999,-10.091673,"Keel East, Keel, Newtown, ",Mayo,"Activity,Experience,Walking ,Walking,Activity Operator,Nature and Wildlife,Tour",5.0
39,Achill Outdoor Education & Training Centre,53.95762430000001,-9.9685692,"Achill, Cashel, ",Mayo,"Activity,Experience,Climbing,Activity Operator,Kayaking,Kitesurfing,Windsurfing,Learning,Sailing,Surfing,Walking ,Walking,Adventure Park",4.3
40,Achill Sea Safari,53.9642395,-10.1027544,"Achill island, Achill, westport, , ",Mayo,"Activity,Experience,Activity Operator,Nature and Wildlife,Boat,Tour",5.0
41,Achill Seascape,53.88000109999999,-9.947166499999998,"Small pier, Cloghmore, Achill, , ",Mayo,"Activity,Experience,Activity Operator,Nature and Wildlife,Boat,Tour",5.0
42,Achill Seaweed Baths,53.9776589,-10.0451336,"Dookinelly (Calvy), , ",Mayo,"Activity,Experience,Pampering,Health Farm,Spa and Wellness,Specialised Retreat,Spa",5.0
43,Achill Surf Education & Adventure Centre,53.973296,-10.073069,"Achill Island Co Mayo *, Keel East, , ",Mayo,"Activity,Experience,Climbing,Activity Operator,Cycling,Kayaking,Surfing,Walking ,Walking",4.9
44,Achonry Farmers Market,54.09569119999999,-8.6602689,"38WQ+7V, Carrowclare, Achonry, , ",Sligo,"Activity,Experience,Craft,Shopping,Food and Drink,Restaurant,Shopping Centres and Department Store,Artisan,Local Produce,Food Shops ",4.7
45,Acorn Restaurant at the Castle Oaks House Hotel & Estate,52.7095835,-8.5085681,"Stradbally North, Castleconnell, V94 EH94",Limerick,"Activity,Food and Drink,Experience,Restaurant",4.2
46,Activate Waterford,52.24238099999999,-7.089560899999999,"Williamstown House, Williamstown Rd, Ardkeen, ",Waterford,"Activity,Experience,Climbing,Activity Operator,Movies,Cinema,Venue,Cafe,Food and Drink",4.4
47,Active Breaks,52.27229680000001,-6.3856314,"Active Breaks, Station Road, Doogans Warren, Rosslare, ",Wexford,"Activity,Experience,Cycling,Activity Operator,Bike Rental,Tour",4.2
48,Active Tribe Courtown,52.6486064,-6.228840299999999,"Active Tribe Courtown, Courtown Harbour, Ballinatray Lower, Gorey, ",Wexford,"Activity,Experience,Learning,Swimming,Swimming Pools and Water Park,Venue,Zip Lining,Activity Operator,Fitness and Leisure,Swimming Pool,Cafe,Food and Drink",4.3
49,Activities Ireland,53.3583925,-6.449117799999999,"11 Main St, Lucan Village, Lucan, ",Dublin,"Activity,Experience,Activity Operator,Venue,Sports Venues,Tour",4.6
50,Activity Days,51.9395051,-8.5674229,"10 Bracken Wood, Blarney, ",Cork,"Activity,Cycling,Food and Drink,Restaurant,Kayaking,Activity Operator,Sailing,Walking ,Walking,Nature and Wildlife,Tour",4.6
51,Adam Ladd Tours,53.3403825,-6.300785799999999,"Bellavista, 46 Cameron Square, Kilmainham, D08 W83F",Dublin,"Activity,Activity Operator,Tour",4.498127674750356
52,Adams & Butler,53.2692808,-6.1667652,"Aspen Court, 2 Bray Rd, Cornelscourt, , D18 K3T2",Dublin,"Activity,Experience,Activity Operator,Nature and Wildlife,Tour",4.5
53,Adare Cottage,52.56482639999999,-8.7867137,"Adare Cottage Shop, Main Street, Adare, ",Limerick,"Activity,Experience,Craft,Shopping,Shopping Centres and Department Store,Food Shops ",4.6
54,The Golf Course at Adare Manor,52.5710227,-8.7827067,"Limerick Road, Adare, ",Limerick,"Golf Course,Activity,Experience,Golf,Driving Range,General,Golf Driving Range,Food and Drink,Restaurant,Activity Operator,Food Shops ,Shopping",4.6
55,Adare Heritage Centre,52.5647887,-8.789831300000001,"Main St, Blackabbey, Adare, V94 DWV7",Limerick,"Activity,Experience,Craft,Shopping,Shopping Centres and Department Store,Tracing Your Ancestors,Attraction,Museums and Attraction,Cafe,Food and Drink,Food Shops ,Tour",4.3
56,Adare Village & Riverbank Walk,52.56208570551605,-8.793213826074293,", Adare, ",Limerick,"Activity,Walking ,Walking",4.4
57,Adare Walking Tours,52.5647615,-8.7881817,"N21, Blackabbey, Adare, ",Limerick,"Activity,Experience,Activity Operator,Tour,Walking",4.7
58,Adare Walks,52.5636339,-8.7925892,", Adare, ",Limerick,"Activity,Activity Operator,Tour,Walking",4.7
59,Adare Woollens,52.5646866,-8.789861799999999,"The Heritage Centre, Blackabbey, Adare, V94 DWV7",Limerick,"Activity,Experience,Craft,Shopping,Shopping Centres and Department Store,Food Shops ",4.1
60,Adelaide Memorial Church,52.684946,-6.778635,", Myshall, ",Carlow,"Activity,Experience,Church Abbey,Monastery,Attraction,Churches, Abbeys and Monastery",5.0
61,Adelaide Road Presbyterian Church,53.33250790000001,-6.2587834,"Adelaide Road Presbyterian Church, 18A Adelaide Rd, Saint Kevin's, Dublin, D02 HP49",Dublin,"Activity,Church Abbey,Monastery,Attraction,Churches, Abbeys and Monastery",4.7
62,Adonis Flower Designers,53.34096520000001,-6.272102800000001,"59- 60 Patrick St, Christchurch Pl, The Liberties, Dublin, ",Dublin,"Activity,Craft,Shopping,Learning,Shopping Centres and Department Store,Food Shops ",4.8
63,Adrigole Arts (Pure-Ireland),51.6844045,-9.7101225,"Drumlave, , P75 HF10",Cork,"Activity,Food and Drink,Experience,Craft,Shopping,Shopping Centres and Department Store,Art Gallery,Attraction,Venue,Music,Cafe,Food Shops ",4.9
64,Killarney Lakes and Gap of Dunloe Tour by Adventure 001 Helicopters Ireland,52.3458108,-9.7623808,"Ardfert Airfield, Ballyrobert, Ardfert, ",Kerry,"Activity,Experience,Activity Operator,Day Tour,Tour",4.498127674750356
65,10km Helicopter Buzz Flight by Adventure 001 Helicopters Ireland,52.18742699999999,-7.079176999999998,"Killowen, , X91 AR26",Waterford,"Activity,Experience,Activity Operator,Day Tour,Tour",3.8
66,"Clew Bay, Westport and Croagh Patrick Tour by Adventure 001 Helicopters Ireland",53.6382888,-9.2446636,"Ballinrobe Race Course, Rathcarreen, Ballinrobe, ",Mayo,"Activity,Experience,Activity Operator,Day Tour,Tour",4.498127674750356
67,Fortress Spike Island Tour by Adventure 001 Helicopters Ireland,52.132177,-8.685995,"Cork Racecourse Mallow, Killetra, Mallow, ",Cork,"Activity,Experience,Activity Operator,Day Tour,Tour",3.8
68,The Copper Coast Tour by Adventure 001 Helicopters Ireland,52.18856,-7.080912,"Waterford Airport, Ballygarran, Waterford Regional Airport, , ",Waterford,"Activity,Experience,Activity Operator,Day Tour,Tour",3.8
69,Cliffs of Moher Tour by Adventure 001 Helicopters Ireland,52.8462202,-9.4139509,"Leagard South, Spanish Point, ",Clare,"Activity,Experience,Activity Operator,Day Tour,Tour",3.8
70,Adventure 001 Helicopters Ireland,52.18742699999999,-7.079176999999998,"Killowen, , X91 AR26",Waterford,"Activity,Experience,Day Tour,Tour",3.8
71,Adventure Gently,54.2304964391538,-8.3012295257849,"Beagh, Dromahair, ",Leitrim,"Activity,Experience,Kayaking,Activity Operator,Nature and Wildlife,Boat,Tour",5.0
72,adventure.ie,53.0119991,-6.107665799999999,"Ashford Business Centre, Mount Usher Court, Ashford, A67 PN59",Wicklow,"Activity,Experience,Climbing,Activity Operator,Walking ,Walking",5.0
73,Adventure Legend,54.0138727,-7.5282313,"Portaliff Or Townparks, Killashandra, , ",Cavan,"Activity,Experience,Kayaking,Activity Operator,Learning,Surfing,Walking ,Walking,Day Tour,Tour",4.498127674750356
74,Adventure Rooms Dublin,53.34966379999999,-6.270430499999999,"Classic House, Green St, Rotunda, , ",Dublin,Activity,4.8
75,Adventure Sports Culdaff,55.3003397,-7.154144800000001,"pier, Bunagee Rd, Carthage, Bunagee, , ",Donegal,"Activity,Experience,Climbing,Activity Operator,Kayaking,Walking ,Walking",5.0
76,Adventure Tours Inis Mor,53.11914082815188,-9.66904792855837,"Cuan Chiaran, Kilronan, Inis Mor, , ",Galway,"Activity,Experience,Activity Operator,Tour",5.0
77,Aer Arann Islands,53.232080708613005,-9.467315095118463,"Caislean, Inverin, , ",Galway,"Activity,Experience,Transport,Coach,Road",4.9
78,Aerfort Réigiúnach Chonamara (Connemara Regional Airport),53.2322156,-9.4695141,"Connemara Airport, Inveran, ",Galway,"Activity,Experience,Transport,Attraction,Embarkation Point,Coach,Road",4.8
79,Aghaboe Abbey,52.92221660000001,-7.514009299999999,"Friarsland, Aghaboe, ",Laois,"Activity,Experience,Church Abbey,Monastery,Attraction,Churches, Abbeys and Monastery,Ruins,Historic Houses and Castle",4.4
80,The Spa at Aghadoe Heights,52.07733390000001,-9.5562134,"Lakes of Killarney, Nunstown, Killarney, V93 DH59",Kerry,"Activity,Experience,Pampering,Health Farm,Spa and Wellness,Specialised Retreat,Spa",4.6
81,Agricultural Heritage Display Centre,53.1667259,-6.188046300000001,"Powerscourt Waterfall Road, Coolakay, Enniskerry, ",Wicklow,"Activity,Experience,Agriculture,Nature and Wildlife,Attraction,Museums and Attraction",4.579660084723602
82,Ahakista Air India Plane Disaster Memorial,51.59751,-9.621448,"Sheeps Head Peninsula, Ahakista, ",Cork,"Activity,Experience,Attraction,Public Sculpture",4.6
83,Ahascragh Distillery,53.3970592,-8.3360383,"Chapel St, Ahascragh West, Ballinasloe, H53 AH39",Galway,"Activity,Experience,Learning,Activity Operator,Attraction,Museums and Attraction,Cafe,Food and Drink,Tour",4.7
84,Ahenny High Crosses,52.41253745665957,-7.393333381617822,"Carrick On Suir, Ahenny, ",Tipperary,"Activity,Experience,Church Abbey,Monastery,Attraction,Churches, Abbeys and Monastery,Ruins,Historic Houses and Castle",4.0
85,Ahoy Café,54.63338479999999,-8.4460411,"Shore Road, Killybegs, F94 V322",Donegal,"Activity,Food and Drink,Experience,Cafe,Seafood,Restaurant",4.8
86,Aidi MacDáibhi Celtic Jewellery,52.447323,-9.482015,"Church Street Church St, Listowel, V31 Y659",Kerry,"Activity,Experience,Craft,Shopping,Shopping Centres and Department Store,Food Shops ",4.3
87,Aileach Restaurant at the Clanree Hotel,54.94365939999999,-7.6983954,"Derry Road, Bunnagee, Letterkenny, ",Donegal,"Activity,Food and Drink,Experience,Restaurant",4.4
88,"Aillwee Burren Experience: Cave Tours, Birds of Prey & Farm Shop",53.09043310000001,-9.1468123,"Aillwee Burren Experience, Ballycahill, Ballyvaughan, H91 AX26",Clare,"Activity,Experience,Falconry,Nature and Wildlife,Activity Operator,Natural Landscape,Attraction,Food Shops ,Shopping,Tour",4.5
89,Áine Dunne - Fine Art Tapestry Weaver,53.76211399999999,-6.351276999999999,"An Cruach, Ballymakenny, Drogheda, ",Louth,"Activity,Experience,Craft,Shopping,Learning,Art Gallery,Attraction,Activity Operator",4.9
90,Aircoach,53.428486,-6.243069,"Arrivals Level, Dublin Airport, ",Dublin,"Activity,Transport,Coach,Road",2.4
91,Airfield Estate,53.28817950000001,-6.236995299999999,"Overend Ave, Dundrum, D14 EE77",Dublin,Activity Gardens Attraction Garden Visitor Farm Nature and Wildlife,4.4
92,Airmid Natural Handmade Skincare,52.9417237,-9.293415,"AIRMID, Church St, Deerpark Middle, Ennistimon, , V95 CR44",Clare,"Activity,Experience,Craft,Shopping,Shopping Centres and Department Store,Food Shops ",5.0
93,Airtastic Entertainment Centre,51.903236,-8.357882399999998,"Unit 5, Eastgate Retail Park, Little Island, T45 DY80",Cork,"Activity,Experience,Restaurant,Activity Operator,Food and Drink",4.3
94,Akelarre Tours,53.3498053,-6.2603097,", , ",Dublin,"Activity,Activity Operator,Tour,Walking",4.7
95,Alaind Walking Sneem,51.84421,-9.9086594,"Álaind Lodges B&B, Sportsfield Road, Moularostig, Sneem, ",Kerry,"Activity,Walking ,Walking,Activity Operator,Tour",5.0
96,Alainn Tours,54.276444346788,-8.494411290535822,"Unit 9, ProTek House, Finisklin Business Park, Sligo, , ",Sligo,"Activity,Experience,Activity Operator,Tour",4.2
97,Alan Gaillard Stoneware Pottery,53.5036472,-10.0308748,"The Stone House, Westport Rd, Letternoosh, Clifden, H71 VY45",Galway,"Activity,Experience,Craft,Shopping,Shopping Centres and Department Store,Food Shops ",4.6
98,Alchemy Tours,54.14019560000001,-10.0836632,"Mullaghroe, North, Clogher, F26 C2C8",Mayo,"Activity,Experience,Walking ,Walking,Activity Operator,Nature and Wildlife,Tour",5.0
99,Alive Outside,53.1795604,-6.105066000000001,"Garden House, Southern Cross Rd, Kilruddery Demesne West, Bray, A98 W9F2",Wicklow,"Activity,Experience,Climbing,Activity Operator,Kayaking,Swimming,Swimming Pools and Water Park,Venue,Adventure Park",4.5
100,Alix Gardners Cookery School,53.3296366,-6.245328100000001,"71 Waterloo Rd, Ballsbridge, D04 P659",Dublin,"Activity,Food and Drink,Restaurant,Learning,Activity Operator,Food Trails and Tour,Tour",4.9
101,All Ireland Chauffeur - Coach Tours,52.23938187117054,-7.075492314680446,"13 Shanagarry, Collins Ave, Waterford City, ",Waterford,"Activity,Experience,Activity Operator,Tour",4.8
102,Allihies Copper Mine Museum,51.6412598,-10.0441558,"Cloan, Beara, Allihies, ",Cork,"Activity,Experience,Learning,Walking ,Walking,Attraction,Museums and Attraction,Cafe,Food and Drink",4.5
103,Allihies Copper Mine Tour,51.63912118061872,-10.045510909174029,"Cnocán, Beara, , ",Cork,"Activity,Walking ,Walking,Activity Operator,Tour",4.5
104,"Allo's Restaurant, Bar & Bistro",52.44659919999999,-9.4842248,"41 Church St, Listowel, ",Kerry,"Activity,Food and Drink,Experience,Restaurant",4.5
105,Aloha Surf School,53.11747539999999,-9.2861007,"Fanore More, Fanore, ",Clare,"Activity,Surfing,Activity Operator",5.0
106,Alpaca Lodge ,52.54153300000001,-6.3574919,"Wells, Gorey, Y25 R9K6",Wexford,"Activity,Experience,Activity Operator,Tour,Walking",5.0
107,Alpaca Walk West Cork,51.5362985,-9.1263979,"Alpaca Walk West Cork, Ardra, Unionhall, , ",Cork,"Activity,Experience,Activity Operator,Tour",5.0
108,Alpine Fishery,54.2159,-9.09244,"Pier Road, Inniscrone, , ",Sligo,"Activity,Experience,Fishing,Angling,Activity Operator",5.0
109,Altamont Gardens,52.7357813084342,-6.720837390212978,", Tullow, ",Carlow,Activity Experience Gardens Attraction Garden,4.8
110,Alternative Bread Company,51.89765060000001,-8.474743499999999,"24 Grand Parade, Centre, , T12 KP44",Cork,"Activity,Experience,Shopping,Shopping Centres and Department Store,Food Shops ",4.4
111,Alternative Dublin City,53.3460087,-6.262605,"51 Wellington Quay, Temple Bar, Dublin City, ",Dublin,"Activity,Day Tour,Tour",4.8
112,Alternative Visions,55.1834711,-7.969436900000002,", Dunfanaghy, ",Donegal,"Activity,Experience,Learning,Photography,Activity Operator,Tour",4.0
113,Althea Valentia,51.9122585,-10.3563488,", Valentia Island, v23tc78",Kerry,"Activity,Experience,Learning,Activity Operator,Food Shops ,Shopping",5.0
114,Altidore Castle,53.1106151,-6.138117299999999,"Altidore Castle, Altidore Demesne, Kilpedder, , ",Wicklow,"Activity,Experience,Attraction,Historic Houses and Castle,Castle,Museums and Attraction,Tour",4.498127674750356
115,Altitude - The Bicycle People,52.2602341,-7.1187809,"22 Ballybricken, , X91 V6VA",Waterford,"Activity,Experience,Cycling,Shopping,Shopping Centres and Department Store,Bike Rental,Food Shops ",4.9
116,Amazing Irish Vacations,52.66310138557455,-8.627269450783388,", Limerick City, ",Limerick,"Activity,Experience,Activity Operator,Tour",5.0
117,Amelia's Irish Design & Gifts,54.9504925,-7.736841999999999,"29 Upper Main St, Letterkenny, ",Donegal,"Activity,Experience,Craft,Shopping,Food Shops ",4.8
118,Amicus Restaurant,51.89928299999999,-8.4741568,"Paul St, Centre, , T12 WP97",Cork,Activity Food and Drink Experience Restaurant,4.1
119,AMOC Jewellery,53.1443074,-6.0625099,"1 Church Rd, Killincarrig, Greystones, ",Wicklow,"Activity,Experience,Craft,Shopping,Shopping Centres and Department Store,Food Shops ",4.6
120,An Bhinn Bhuí (Benwee Head),54.33666669999999,-9.8188889,"Benwee Head, Carrownaglogh, , ",Mayo,Activity,5.0
121,Ceardlann Spiddal Craft Village and Café,53.2447242,-9.3004546,"craft village & cafe, Bohoona East, Spiddal, H91 XPA8",Galway,"Activity,Experience,Craft,Shopping,Shopping Centres and Department Store,Cafe,Food and Drink,Food Shops ",4.4
122,An Chéibh Bheag (Cloghmore Pier),53.880075,-9.9472967,"Cloghmore, Achill Island, , ",Mayo,"Activity,Experience,Fishing,Angling,Attraction,Embarkation Point,Nature and Wildlife,Boat,Tour",4.3
123,An Chonair (Conor Pass),52.1818742,-10.2072805,"R560, Ballingarraun, , ",Kerry,"Activity,Experience,Natural Landscape,Attraction,Nature and Wildlife",4.8
124,An Evening of Irish Folklore and Fairies,53.3438235,-6.263658800000001,"1 Dame Ct, , D02 TW84",Dublin,"Activity,Food and Drink,Pubs and Bar",4.498127674750356
125,An Fál Mór (Falmore),54.09554,-10.085653,"Falmore, Belmullet (Béal an Mhuirthead), , ",Mayo,"Activity,Experience,Learning,Ruins,Attraction,Historic Houses and Castle",4.498127674750356
126,An File,53.7995252,-9.524646899999995,"1 The, Octagon, Cahernamart, Westport, ",Mayo,"Activity,Food and Drink,Experience,Restaurant,Pubs and Bar",4.6
127,An Fód Dubh (Blacksod Harbour),54.1006423,-10.0688502,"Fallmore, Blacksod, ",Mayo,"Activity,Experience,Attraction,Embarkation Point",4.579660084723602
128,An Gobha Iron Works & Experience,53.6604554,-6.784871099999999,"Durhamstown, Charlesfort, , ",Meath,"Activity,Experience,Activity Operator",4.498127674750356
129,An Grianán,53.7546463,-6.264444800000001,"An Grianan ICA, Newtown, A92 X9TF",Louth,"Activity,Experience,Restaurant,Craft,Shopping,Cooking,Cookery,Learning,Activity Operator,Attraction,Historic Houses and Castle,Fine Dining,Food and Drink",4.498127674750356
130,An Grianán Theatre,54.9531517,-7.731236899999999,"Port Rd, Gortlee, Letterkenny, F92 RV1F",Donegal,"Activity,Experience,Venue,Comedy,Music,Food and Drink,Pubs and Bar,Cafe",4.7
131,An Poitin Stil,53.281066,-6.476837,"Naas Dual Carriageway, Rathcoole, ",Dublin,"Activity,Food and Drink,Restaurant,Pubs and Bar",4.4
132,An Port Mór Restaurant,53.799036,-9.522252,"1 Brewery Place, (Adjacent to Bridge Street), Westport, F28 KP70",Mayo,"Activity,Food and Drink,Experience,Restaurant",4.6
133,An Púcán,53.2745129,-9.0474341,"11 Forster St, , H91 P65D",Galway,"Activity,Food and Drink,Experience,Restaurant,Pubs and Bar",4.5
134,Madigan’s Bar & Restaurant at Aran Islands Hotel,53.1180074,-9.6758716,"Kilronan, Aran Islands, H91 DH27",Galway,"Activity,Food and Drink,Experience,Restaurant,Pubs and Bar,Seafood,Vegetarian",4.8
135,An Sibin Equestrian Centre,52.98022899999999,-8.4042105,"Derroran East, , V94 T6N1",Clare,"Activity,Experience,Horse Riding,Equestrian,Nature and Wildlife",5.0
136,An Síbín Restaurant & Wine Bar,51.7656799,-9.7708152,"An Sibin Restaurant B&B, Lauragh Lower, Kenmare, V93 T4C2",Kerry,"Activity,Food and Drink,Experience,Restaurant,Local Produce,Pubs and Bar,Seafood",4.4
137,An Siopa at The Mills,51.94565739999999,-9.170632200000002,"Flats, Ballyvourney, ",Cork,"Activity,Experience,Shopping,Shopping Centres and Department Store,Food Shops ",5.0
138,An Spailpín Fánach,51.8966158,-8.4765789,"Centre, Cork City, T12 DYX9",Cork,"Activity,Food and Drink,Experience,Pubs and Bar",4.5
139,An Súgán Restaurant & Seafood Bar,51.6231669,-8.8858526,"41-42 Wolfe Tone St, Scartagh, Clonakilty, P85 DY95",Cork,"Activity,Food and Drink,Experience,Pubs and Bar,Seafood,Restaurant",4.2
140,An Táin Arts Centre,54.0045404,-6.400590399999998,"Crowe St, Townparks, Dundalk, ",Louth,Activity Experience Learning Art Gallery Attraction Venue Comedy Traditionally Irish,4.6
141,An tSean Bheairic,55.1368631,-8.101692899999998,", Falcarragh, ",Donegal,"Activity,Experience,Craft,Shopping,Attraction,Museums and Attraction,Cafe,Food and Drink,Food Shops ",4.8
142,Anam Cara Writer's and Artist's Retreat,51.6842538,-9.9557065,"R575, Inches, Eyeries, ",Cork,"Activity,Experience,Learning,Activity Operator",5.0
143,Anam Croí Ireland Tours,53.3498053,-6.2603097,", , ",Dublin,"Activity,Activity Operator,Tour",4.498127674750356
144,Anam Tours,54.0387808,-6.1873358,"Cooley Peninsula, Trinity Cl, Liberties Of Carlingford, Carlingford, A91 K803",Louth,"Activity,Experience,Walking ,Walking,Activity Operator,Tour",5.0
145,Ancestral Line,52.729145,-9.1057419,"Lavally North, , V95 YK5F",Clare,"Activity,Experience,Activity Operator,Tracing Your Ancestors",4.579660084723602
